,cell_id,splitOnRecType,stimulusTag_x,imgResp,stimulusTag_y,discResp,NLI,cNLI
1,2016/08/10Cell 2 - on parasol,cell-attach,image,4.14871806189,intensity,3.41861311343,0.0964811677389,0.0964811677389
2,2016/08/10Cell 2 - on parasol,exc,image,-173.764046236,intensity,-162.598387135,-0.0331953214527,0.0331953214527
3,2016/09/13On parasol1,cell-attach,image,2.46240620334,intensity,2.63385431694,-0.0336419445032,-0.0336419445032
4,2016/09/13On parasol1,exc,image,-48.9565923388,intensity,-38.684089091,-0.117211585764,0.117211585764
5,2016/09/13On parasol2,cell-attach,image,1.50290604838,intensity,1.02021813632,0.191305649953,0.191305649953
6,2016/09/13On parasol2,exc,image,-81.142323434,intensity,-60.9171668906,-0.142371034115,0.142371034115
7,2016/09/13On parasol3,cell-attach,image,2.39573798363,intensity,1.58867267342,0.202555755335,0.202555755335
8,2016/09/13On parasol3,exc,image,-99.1525652464,intensity,-78.9603068309,-0.113367766068,0.113367766068
12,2016/10/11Cell4,cell-attach,image,4.68500759583,intensity,4.30640582452,0.0421070363039,0.0421070363039
13,2016/10/11Cell4,exc,image,-300.236449578,intensity,-261.096642952,-0.0697265262768,0.0697265262768
14,2016/10/11Cell5,cell-attach,image,6.23662568551,intensity,3.94206309115,0.225428112078,0.225428112078
15,2016/10/11Cell5,exc,image,-116.428847858,intensity,-71.3440616694,-0.240102719301,0.240102719301
16,2016/10/25Cell1,cell-attach,image,0.552215524749,intensity,0.582070364657,-0.0263203837653,-0.0263203837653
17,2016/10/25Cell1,exc,image,-30.3243383278,intensity,-12.4242477793,-0.418729417241,0.418729417241
18,2016/10/25Cell2,cell-attach,image,8.64674987956,intensity,3.27284310286,0.450846499928,0.450846499928
19,2016/10/25Cell2,exc,image,-93.5284894187,intensity,-10.2316532065,-0.802782591704,0.802782591704
22,2016/11/29Cell1,cell-attach,image,1.12267770771,intensity,1.48385273421,-0.138565435756,-0.138565435756
23,2016/11/29Cell1,exc,image,-38.0608531032,intensity,-35.7812628771,-0.0308711389954,0.0308711389954
24,2016/12/02Cell2,cell-attach,image,3.51061498468,intensity,5.30114567343,-0.203197835056,-0.203197835056
25,2016/12/02Cell2,exc,image,-97.3851524098,intensity,-89.9444705832,-0.0397197288276,0.0397197288276
