id,splitOnRecType,splitOnExperimentDate,celllabel,currentSpotContrast,splitOnDelTag,backgroundIntensity,MeanRespOn,SEM,nodeid,leafid
1,"exc","2016/08/10","Cell 1- on parasol",-0.9,"keep",0.2,631.761140764476,45.9078115590825,1,1
2,"exc","2016/08/10","Cell 1- on parasol",-0.75,"keep",0.2,666.865397698085,21.4065239671283,1,2
3,"exc","2016/08/10","Cell 1- on parasol",-0.5,"keep",0.2,573.648344759923,18.8074279259737,1,3
4,"exc","2016/08/10","Cell 1- on parasol",-0.25,"keep",0.2,301.151607582326,13.9213403103423,1,4
5,"exc","2016/08/10","Cell 1- on parasol",-0.125,"keep",0.2,127.812106744066,7.67526950553126,1,5
6,"exc","2016/08/10","Cell 1- on parasol",0.125,"keep",0.2,-124.260164968033,7.84504889622016,1,6
7,"exc","2016/08/10","Cell 1- on parasol",0.25,"keep",0.2,-277.362644907253,13.8028400210004,1,7
8,"exc","2016/08/10","Cell 1- on parasol",0.5,"keep",0.2,-704.832858074274,24.8696084585906,1,8
9,"exc","2016/08/10","Cell 1- on parasol",0.75,"keep",0.2,-1138.60070099271,31.5716739090036,1,9
10,"exc","2016/08/10","Cell 1- on parasol",0.9,"keep",0.2,-1266.27163480419,33.2609536787017,1,10
11,"exc","2016/08/10","Cell 1- on parasol",-0.9,"keep",0.5,787.112618841144,115.89907716443,1,11
12,"exc","2016/08/10","Cell 1- on parasol",-0.75,"keep",0.5,740.449903365161,88.1066889134833,1,12
13,"exc","2016/08/10","Cell 1- on parasol",-0.5,"keep",0.5,516.978447478152,42.2745758327541,1,13
14,"exc","2016/08/10","Cell 1- on parasol",-0.25,"keep",0.5,224.097470548854,11.1689545640314,1,14
15,"exc","2016/08/10","Cell 1- on parasol",-0.125,"keep",0.5,89.4392797635314,13.087202773323,1,15
16,"exc","2016/08/10","Cell 1- on parasol",0.125,"keep",0.5,-65.509376758497,7.37162772207205,1,16
17,"exc","2016/08/10","Cell 1- on parasol",0.25,"keep",0.5,-191.47636599816,28.7161451260127,1,17
18,"exc","2016/08/10","Cell 1- on parasol",0.5,"keep",0.5,-453.908623277654,78.1737983908519,1,18
19,"exc","2016/08/10","Cell 1- on parasol",0.75,"keep",0.5,-591.579170362828,110.854110365154,1,19
20,"exc","2016/08/10","Cell 1- on parasol",0.9,"keep",0.5,-618.910099355739,120.266542594705,1,20
1,"exc","2016/08/10","Cell 2 - on parasol",-0.9,"keep",0.2,559.023496649477,39.3921428752968,2,1
2,"exc","2016/08/10","Cell 2 - on parasol",-0.75,"keep",0.2,554.59996072396,10.3866188604997,2,2
3,"exc","2016/08/10","Cell 2 - on parasol",-0.5,"keep",0.2,498.453272415134,4.3270429494622,2,3
4,"exc","2016/08/10","Cell 2 - on parasol",-0.25,"keep",0.2,302.866901369923,10.220394921201,2,4
5,"exc","2016/08/10","Cell 2 - on parasol",-0.125,"keep",0.2,135.623352123915,10.4698320222598,2,5
6,"exc","2016/08/10","Cell 2 - on parasol",0.125,"keep",0.2,-70.7514725706425,3.74245049927824,2,6
7,"exc","2016/08/10","Cell 2 - on parasol",0.25,"keep",0.2,-175.906099897288,6.15708131070022,2,7
8,"exc","2016/08/10","Cell 2 - on parasol",0.5,"keep",0.2,-424.67556825726,24.9514740244142,2,8
9,"exc","2016/08/10","Cell 2 - on parasol",0.75,"keep",0.2,-640.44359920632,24.9884806190172,2,9
10,"exc","2016/08/10","Cell 2 - on parasol",0.9,"keep",0.2,-755.025455847165,21.9892161776762,2,10
1,"exc","2016/09/13","On parasol1",-0.9,"keep",0.2,37.5688333620767,6.89270800339491,3,1
2,"inh","2016/09/13","On parasol1",-0.9,"keep",0.2,1372.25912644203,97.3922457175362,3,2
3,"exc","2016/09/13","On parasol1",-0.75,"keep",0.2,35.9646695424898,4.5848008624405,3,3
4,"inh","2016/09/13","On parasol1",-0.75,"keep",0.2,1256.35567019556,88.0012076960867,3,4
5,"exc","2016/09/13","On parasol1",-0.5,"keep",0.2,44.2675580462151,4.89136003756324,3,5
6,"inh","2016/09/13","On parasol1",-0.5,"keep",0.2,1027.19009970179,64.9921410221334,3,6
7,"exc","2016/09/13","On parasol1",-0.25,"keep",0.2,36.4050009011638,3.1810568527732,3,7
