,splitOnRecType_x,currentSpotContrast,MeanExc,SEM_Exc,cell_id,splitOnRecType_y,MeanInh,SEM_Inh
0,exc,-0.9,37.5688333621,6.89270800339,2016/09/13On parasol1,inh,1351.62164593,86.8322678858
1,exc,-0.75,35.9646695425,4.58480086244,2016/09/13On parasol1,inh,1256.3556702,88.0012076961
2,exc,-0.5,44.2675580462,4.89136003756,2016/09/13On parasol1,inh,1027.1900997,64.9921410221
3,exc,-0.25,36.4050009012,3.18105685277,2016/09/13On parasol1,inh,354.218159692,29.4314270066
4,exc,-0.125,13.4789255032,4.384484433,2016/09/13On parasol1,inh,38.2876393523,9.34100031649
5,exc,0.125,-6.50133429732,2.10476547504,2016/09/13On parasol1,inh,-7.08051557953,16.4566698398
6,exc,0.25,-21.4466465869,6.44430568967,2016/09/13On parasol1,inh,-1.80974409967,3.35742728695
7,exc,0.5,-66.5611155948,3.69936817124,2016/09/13On parasol1,inh,25.5783934621,7.83637613815
8,exc,0.75,-136.621060235,9.76315406103,2016/09/13On parasol1,inh,59.0499214376,11.5172370076
9,exc,0.9,-190.607304445,7.07642714291,2016/09/13On parasol1,inh,80.8055464222,16.8926124756
10,exc,-0.9,47.8783208377,15.1863078158,2016/09/13On parasol2,inh,1480.94690413,130.259681865
11,exc,-0.75,86.6320105003,13.021572548,2016/09/13On parasol2,inh,1159.25626038,101.707822008
12,exc,-0.5,110.180549337,4.94322271662,2016/09/13On parasol2,inh,986.703485634,60.407119536
13,exc,-0.25,80.4975382876,8.01233183897,2016/09/13On parasol2,inh,412.475752058,25.9829487335
14,exc,-0.125,28.8686332506,9.79839708918,2016/09/13On parasol2,inh,101.022011234,33.1492216826
15,exc,0.125,-44.1218588037,14.6708889697,2016/09/13On parasol2,inh,-23.8586346052,18.117146096
16,exc,0.25,-70.703085803,10.9716569747,2016/09/13On parasol2,inh,-29.7517119825,0.724862956252
17,exc,0.5,-156.003795146,17.0978640953,2016/09/13On parasol2,inh,25.9535485833,26.3219269625
18,exc,0.75,-238.095461132,30.3062248992,2016/09/13On parasol2,inh,111.65278238,9.04636300436
19,exc,0.9,-266.58517785,32.4692634275,2016/09/13On parasol2,inh,213.01142748,22.6482235411
20,exc,1.2,-278.913739771,40.0279354423,2016/09/13On parasol2,inh,276.084573603,8.3209014707
21,exc,1.5,-302.844115941,50.357703155,2016/09/13On parasol2,inh,359.084964589,33.0429666655
22,exc,-0.9,57.3537428038,13.8857806155,2016/09/13On parasol3,inh,5302.95327289,353.909140187
23,exc,-0.75,120.671619878,6.14618572186,2016/09/13On parasol3,inh,4654.14975277,263.227342514
24,exc,-0.5,164.748009703,16.7943772213,2016/09/13On parasol3,inh,3600.85141213,70.403540176
25,exc,-0.25,118.539036837,14.5754119299,2016/09/13On parasol3,inh,2039.88072205,148.043529951
26,exc,-0.125,41.3151366637,6.63033257122,2016/09/13On parasol3,inh,342.916670831,131.890695957
27,exc,0.125,-80.5930620274,13.8180553113,2016/09/13On parasol3,inh,-139.269415203,59.7067237265
28,exc,0.25,-165.914718864,21.680388049,2016/09/13On parasol3,inh,-131.248309453,52.4477881957
29,exc,0.5,-352.490315763,32.9613097806,2016/09/13On parasol3,inh,187.889701542,60.078954495
30,exc,0.75,-545.723347801,27.9251191125,2016/09/13On parasol3,inh,405.535661507,8.83998423181
31,exc,0.9,-628.956389114,35.5037358702,2016/09/13On parasol3,inh,530.244490611,44.9366944176
32,exc,1.2,-738.39136964,29.4976614225,2016/09/13On parasol3,inh,675.861522166,15.5175115866
33,exc,1.5,-822.050913321,39.3695977487,2016/09/13On parasol3,inh,772.602636837,13.0318464103
34,exc,-0.9,378.382526716,21.0565288349,2016/10/11Cell2,inh,4187.86813982,143.613963779
35,exc,-0.75,352.611413926,23.1489316315,2016/10/11Cell2,inh,3541.78772242,0.0
36,exc,-0.5,321.297032883,9.7191209444,2016/10/11Cell2,inh,2898.22602463,0.0
37,exc,-0.25,206.426309283,16.4369581814,2016/10/11Cell2,inh,1454.73900001,0.0
38,exc,-0.125,99.0484809728,4.6983111939,2016/10/11Cell2,inh,324.899701956,0.0
39,exc,0.125,-104.63563507,16.1742220796,2016/10/11Cell2,inh,-99.0307027505,0.0
40,exc,0.25,-227.688597682,17.5957153809,2016/10/11Cell2,inh,-155.923847884,0.0
41,exc,0.5,-472.644033561,55.0964104594,2016/10/11Cell2,inh,-137.598328266,0.0
42,exc,0.75,-640.043346681,64.0359717647,2016/10/11Cell2,inh,-180.989202701,0.0
43,exc,0.9,-778.305432664,72.8623114529,2016/10/11Cell2,inh,-239.100390372,0.0
44,exc,-0.9,238.186867807,33.2918170147,2016/10/11Cell3,inh,4973.61631936,313.642395416
45,exc,-0.75,237.241098119,23.873873064,2016/10/11Cell3,inh,4417.85371689,215.482920937
46,exc,-0.5,195.346167551,19.721539229,2016/10/11Cell3,inh,3251.38713503,69.5140842195
47,exc,-0.25,117.661256559,10.5076788045,2016/10/11Cell3,inh,1153.4418924,90.0279091686
48,exc,-0.125,70.0144179155,9.80310392561,2016/10/11Cell3,inh,440.423974152,194.378779874
49,exc,0.125,-99.00648901,4.63429092327,2016/10/11Cell3,inh,-119.129231192,9.3761887501
50,exc,0.25,-242.86196223,15.7056758074,2016/10/11Cell3,inh,-91.707934196,52.8767472863
51,exc,0.5,-555.199518494,42.5072722375,2016/10/11Cell3,inh,30.8821429814,38.9115819515
52,exc,0.75,-873.177753862,55.1885406877,2016/10/11Cell3,inh,98.8855123769,48.392177952
53,exc,0.9,-1014.28378077,58.2983974331,2016/10/11Cell3,inh,202.780126177,90.6839127627
54,exc,-0.9,431.942655189,61.5796475399,2016/10/11Cell4,inh,5155.57139614,226.295243937
55,exc,-0.75,452.228922164,41.2416474706,2016/10/11Cell4,inh,6577.08295354,2233.68216893
56,exc,-0.5,442.084029077,33.4085584131,2016/10/11Cell4,inh,7190.81615137,1121.56690197
57,exc,-0.25,307.852088015,22.7934214488,2016/10/11Cell4,inh,3066.56990726,383.365773242
58,exc,-0.125,163.003360085,8.309943167,2016/10/11Cell4,inh,920.941187486,110.316725925
59,exc,0.125,-259.343988453,17.3558817513,2016/10/11Cell4,inh,-42.7810684138,48.56440656
60,exc,0.25,-587.823745276,14.6436162228,2016/10/11Cell4,inh,24.9972471159,192.319017716
61,exc,0.5,-1168.29723405,16.1060088085,2016/10/11Cell4,inh,741.33725558,153.764035172
62,exc,0.75,-1618.42675774,33.3248381092,2016/10/11Cell4,inh,1160.62300356,301.290694699
63,exc,0.9,-1876.07917692,37.7025268502,2016/10/11Cell4,inh,1330.72601634,297.987813933
64,exc,-0.9,397.78373345,75.5622736767,2016/10/11Cell5,inh,3066.03133887,122.586869151
65,exc,-0.75,389.068725229,68.3425147312,2016/10/11Cell5,inh,2744.05427483,94.4317798148
66,exc,-0.5,307.577809285,58.9914377328,2016/10/11Cell5,inh,2951.32170374,596.26918356
67,exc,-0.25,169.88474211,17.5779952703,2016/10/11Cell5,inh,1206.29515924,164.359787564
68,exc,-0.125,76.5959946731,8.51496370399,2016/10/11Cell5,inh,119.599426551,48.5268186775
69,exc,0.125,-155.578666986,11.4729162152,2016/10/11Cell5,inh,-20.5068372195,8.59772410803
70,exc,0.25,-322.087029934,31.890316369,2016/10/11Cell5,inh,-46.293070143,50.6685538018
71,exc,0.5,-675.212940686,38.0362167078,2016/10/11Cell5,inh,61.1187217287,69.4448067748
72,exc,0.75,-947.178421698,42.5098458813,2016/10/11Cell5,inh,225.533937304,45.4980548774
73,exc,0.9,-1031.20038954,37.4250104728,2016/10/11Cell5,inh,298.154461952,43.8856999605
74,exc,-0.9,50.0858068137,1.43268527285,2016/10/18Cell2,inh,1718.27237998,85.6278940415
75,exc,-0.75,53.9758695058,7.81346150654,2016/10/18Cell2,inh,1651.26209907,78.8172782189
76,exc,-0.5,34.954426173,2.00070977263,2016/10/18Cell2,inh,1398.62851308,75.6058336774
