id,splitOnRecType,splitOnPatchLocation,stimulusTag,splitOnExperimentDate,imageName,imagePatchIndex,celllabel,splitOnDelTag,currentPatchLocation_1,currentPatchLocation_2,equivalentIntensity,backgroundIntensity,MeanRespOn,SEM,nodeid,leafid
1,"exc","1241   648","image","2016/08/10","00152",1,"Cell 1- on parasol","keep",1241,648,0.328416824837654,0.199407172495471,-822.143387203186,43.7592008245865,1,1
2,"exc","1241   648","intensity","2016/08/10","00152",1,"Cell 1- on parasol","keep",1241,648,0.328416824837654,0.199407172495471,-673.196247169537,106.060357557942,1,2
3,"exc","679  707","image","2016/08/10","00152",2,"Cell 1- on parasol","keep",679,707,0.200513669408811,0.199407172495471,-57.4499611304678,20.4371190583653,1,3
4,"exc","679  707","intensity","2016/08/10","00152",2,"Cell 1- on parasol","keep",679,707,0.200513669408811,0.199407172495471,1.2403137509369,16.791635764673,1,4
5,"exc","1287   606","image","2016/08/10","00152",3,"Cell 1- on parasol","keep",1287,606,0.254034132325554,0.199407172495471,-219.210550473179,34.3986367267685,1,5
6,"exc","1287   606","intensity","2016/08/10","00152",3,"Cell 1- on parasol","keep",1287,606,0.254034132325554,0.199407172495471,-208.716174820845,34.5484862541075,1,6
7,"exc","533  572","image","2016/08/10","00152",4,"Cell 1- on parasol","keep",533,572,0.211782762720108,0.199407172495471,-43.4720150284546,13.2224890639285,1,7
8,"exc","533  572","intensity","2016/08/10","00152",4,"Cell 1- on parasol","keep",533,572,0.211782762720108,0.199407172495471,-15.4026388303385,10.396486915777,1,8
9,"exc","690  764","image","2016/08/10","00152",5,"Cell 1- on parasol","keep",690,764,0.211349820305229,0.199407172495471,-1.75018437881122,5.1436921108423,1,9
10,"exc","690  764","intensity","2016/08/10","00152",5,"Cell 1- on parasol","keep",690,764,0.211349820305229,0.199407172495471,-65.9670564156005,12.2971341924792,1,10
11,"exc","1286   635","image","2016/08/10","00152",6,"Cell 1- on parasol","keep",1286,635,0.315802935916572,0.199407172495471,-639.04655787842,101.213927811109,1,11
12,"exc","1286   635","intensity","2016/08/10","00152",6,"Cell 1- on parasol","keep",1286,635,0.315802935916572,0.199407172495471,-501.336707071935,84.9410102999419,1,12
13,"exc","1153   358","image","2016/08/10","00152",7,"Cell 1- on parasol","keep",1153,358,0.204711772865503,0.199407172495471,-41.778993063486,10.2029484749412,1,13
14,"exc","1153   358","intensity","2016/08/10","00152",7,"Cell 1- on parasol","keep",1153,358,0.204711772865503,0.199407172495471,-12.5938419408297,12.1610721780358,1,14
15,"exc","1149   340","image","2016/08/10","00152",8,"Cell 1- on parasol","keep",1149,340,0.24256728349463,0.199407172495471,-104.847613379053,22.7479106422347,1,15
16,"exc","1149   340","intensity","2016/08/10","00152",8,"Cell 1- on parasol","keep",1149,340,0.24256728349463,0.199407172495471,-117.665687730189,20.5129670265109,1,16
17,"exc","1289   789","image","2016/08/10","00152",9,"Cell 1- on parasol","keep",1289,789,0.262590824563858,0.199407172495471,-249.664446292416,41.0991195546681,1,17
