id,splitOnRecType,splitOnPatchLocation,stimulusTag,splitOnExperimentDate,imageName,imagePatchIndex,celllabel,splitOnDelTag,MeanRespOn,SEM,nodeid,leafid
1,"exc","1241   648","image","2016/08/10","00152",1,"Cell 1- on parasol","keep",-822.143387203186,43.7592008245865,1,1
2,"exc","1241   648","intensity","2016/08/10","00152",1,"Cell 1- on parasol","keep",-673.196247169537,106.060357557942,1,2
3,"exc","679  707","image","2016/08/10","00152",2,"Cell 1- on parasol","keep",-57.4499611304678,20.4371190583653,1,3
4,"exc","679  707","intensity","2016/08/10","00152",2,"Cell 1- on parasol","keep",1.2403137509369,16.791635764673,1,4
5,"exc","1287   606","image","2016/08/10","00152",3,"Cell 1- on parasol","keep",-219.210550473179,34.3986367267685,1,5
6,"exc","1287   606","intensity","2016/08/10","00152",3,"Cell 1- on parasol","keep",-208.716174820845,34.5484862541075,1,6
7,"exc","533  572","image","2016/08/10","00152",4,"Cell 1- on parasol","keep",-43.4720150284546,13.2224890639285,1,7
8,"exc","533  572","intensity","2016/08/10","00152",4,"Cell 1- on parasol","keep",-15.4026388303385,10.396486915777,1,8
9,"exc","690  764","image","2016/08/10","00152",5,"Cell 1- on parasol","keep",-1.75018437881122,5.1436921108423,1,9
10,"exc","690  764","intensity","2016/08/10","00152",5,"Cell 1- on parasol","keep",-65.9670564156005,12.2971341924792,1,10
11,"exc","1286   635","image","2016/08/10","00152",6,"Cell 1- on parasol","keep",-639.04655787842,101.213927811109,1,11
12,"exc","1286   635","intensity","2016/08/10","00152",6,"Cell 1- on parasol","keep",-501.336707071935,84.9410102999419,1,12
13,"exc","1153   358","image","2016/08/10","00152",7,"Cell 1- on parasol","keep",-41.778993063486,10.2029484749412,1,13
14,"exc","1153   358","intensity","2016/08/10","00152",7,"Cell 1- on parasol","keep",-12.5938419408297,12.1610721780358,1,14
15,"exc","1149   340","image","2016/08/10","00152",8,"Cell 1- on parasol","keep",-104.847613379053,22.7479106422347,1,15
16,"exc","1149   340","intensity","2016/08/10","00152",8,"Cell 1- on parasol","keep",-117.665687730189,20.5129670265109,1,16
17,"exc","1289   789","image","2016/08/10","00152",9,"Cell 1- on parasol","keep",-249.664446292416,41.0991195546681,1,17
18,"exc","1289   789","intensity","2016/08/10","00152",9,"Cell 1- on parasol","keep",-229.708462461032,37.794558493962,1,18
19,"exc","672  738","image","2016/08/10","00152",10,"Cell 1- on parasol","keep",-139.360593808426,38.3181996748864,1,19
20,"exc","672  738","intensity","2016/08/10","00152",10,"Cell 1- on parasol","keep",-68.1810863530001,21.0018177043157,1,20
21,"exc","357  359","image","2016/08/10","00152",11,"Cell 1- on parasol","keep",-199.395376263809,35.0590568416147,1,21
22,"exc","357  359","intensity","2016/08/10","00152",11,"Cell 1- on parasol","keep",-135.162690548677,24.9454508435962,1,22
23,"exc","453  350","image","2016/08/10","00152",12,"Cell 1- on parasol","keep",-15.7834214080708,8.51619352439175,1,23
24,"exc","453  350","intensity","2016/08/10","00152",12,"Cell 1- on parasol","keep",-13.1201800101015,14.1954839880658,1,24
25,"exc","1259   598","image","2016/08/10","00152",13,"Cell 1- on parasol","keep",-201.548532113349,35.1487610310078,1,25
26,"exc","1259   598","intensity","2016/08/10","00152",13,"Cell 1- on parasol","keep",-159.922265974103,35.3303904366259,1,26
27,"exc","1209   261","image","2016/08/10","00152",14,"Cell 1- on parasol","keep",-447.814884636914,71.1143381738256,1,27
28,"exc","1209   261","intensity","2016/08/10","00152",14,"Cell 1- on parasol","keep",-389.332394926846,68.3362218002587,1,28
29,"exc","1215   597","image","2016/08/10","00152",15,"Cell 1- on parasol","keep",-17.7017240572246,17.4271767870028,1,29
30,"exc","1215   597","intensity","2016/08/10","00152",15,"Cell 1- on parasol","keep",27.3892403685285,13.8981882184039,1,30
31,"exc","785  180","image","2016/08/10","00152",16,"Cell 1- on parasol","keep",-5.18260191082382,18.1453209988448,1,31
32,"exc","785  180","intensity","2016/08/10","00152",16,"Cell 1- on parasol","keep",-24.1835716679589,16.5035584576361,1,32
33,"exc","1285   697","image","2016/08/10","00152",17,"Cell 1- on parasol","keep",-749.228270812928,119.329149272347,1,33
34,"exc","1285   697","intensity","2016/08/10","00152",17,"Cell 1- on parasol","keep",-820.711057469804,136.836065251225,1,34
35,"exc","1157   301","image","2016/08/10","00152",18,"Cell 1- on parasol","keep",-138.739156916196,24.4706553899354,1,35
