id,currentBarWidth,splitOnRecType,stimulusTag,currentAbsContrast,currentMeanLevel,splitOnExperimentDate,celllabel,splitOnDelTag,backgroundIntensity,rfSigmaCenter,MeanRespOn,SEM,nodeid,leafid
1,-100,"cell-attach","grating",0.1,0.2,"2016/10/25","Cell2","keep",0.2,55,14.9925037481259,0,1,1
2,-100,"exc","grating",0.1,0.2,"2016/10/25","Cell2","keep",0.2,55,-22.9570360072839,8.04358382351325,1,2
3,-100,"cell-attach","intensity",0.1,0.2,"2016/10/25","Cell2","keep",0.2,55,0,0,1,3
4,-100,"exc","intensity",0.1,0.2,"2016/10/25","Cell2","keep",0.2,55,6.85203309203327,2.63495351566966,1,4
5,-60,"cell-attach","grating",0.1,0.2,"2016/10/25","Cell2","keep",0.2,55,14.9925037481259,0,1,5
6,-60,"exc","grating",0.1,0.2,"2016/10/25","Cell2","keep",0.2,55,-23.4297663066796,2.23145509353894,1,6
7,-60,"cell-attach","intensity",0.1,0.2,"2016/10/25","Cell2","keep",0.2,55,4.99750124937531,0,1,7
8,-60,"exc","intensity",0.1,0.2,"2016/10/25","Cell2","keep",0.2,55,6.77653314142406,4.37611323016388,1,8
9,-60,"cell-attach","grating",0.2,0.2,"2016/10/25","Cell2","keep",0.2,55,9.99250374812593,0,1,9
10,-60,"exc","grating",0.2,0.2,"2016/10/25","Cell2","keep",0.2,55,-65.3937665390515,8.49346232126474,1,10
11,-60,"cell-attach","intensity",0.2,0.2,"2016/10/25","Cell2","keep",0.2,55,0,0,1,11
12,-60,"exc","intensity",0.2,0.2,"2016/10/25","Cell2","keep",0.2,55,5.37506119370645,7.82884291991516,1,12
13,-20,"cell-attach","grating",0.1,0.2,"2016/10/25","Cell2","keep",0.2,55,0,0,1,13
14,-20,"exc","grating",0.1,0.2,"2016/10/25","Cell2","keep",0.2,55,-3.01730328788039,3.4882026629768,1,14
15,-20,"cell-attach","intensity",0.1,0.2,"2016/10/25","Cell2","keep",0.2,55,0,0,1,15
16,-20,"exc","intensity",0.1,0.2,"2016/10/25","Cell2","keep",0.2,55,0.275985226170494,4.97302421841382,1,16
17,-20,"cell-attach","grating",0.2,0.2,"2016/10/25","Cell2","keep",0.2,55,0,0,1,17
18,-20,"exc","grating",0.2,0.2,"2016/10/25","Cell2","keep",0.2,55,8.2338614979878,1.2890817477406,1,18
19,-20,"cell-attach","intensity",0.2,0.2,"2016/10/25","Cell2","keep",0.2,55,0,0,1,19
20,-20,"exc","intensity",0.2,0.2,"2016/10/25","Cell2","keep",0.2,55,-3.94209118051572,1.42219562700848,1,20
21,20,"cell-attach","grating",0.1,0.2,"2016/10/25","Cell2","keep",0.2,55,-5,0,1,21
22,20,"exc","grating",0.1,0.2,"2016/10/25","Cell2","keep",0.2,55,1.71543156402008,4.77768642321992,1,22
23,20,"cell-attach","intensity",0.1,0.2,"2016/10/25","Cell2","keep",0.2,55,0,0,1,23
24,20,"exc","intensity",0.1,0.2,"2016/10/25","Cell2","keep",0.2,55,-4.19488009395416,5.65823441748884,1,24
25,20,"cell-attach","grating",0.2,0.2,"2016/10/25","Cell2","keep",0.2,55,0,0,1,25
26,20,"exc","grating",0.2,0.2,"2016/10/25","Cell2","keep",0.2,55,3.99057430354766,2.0831340851066,1,26
27,20,"cell-attach","intensity",0.2,0.2,"2016/10/25","Cell2","keep",0.2,55,4.99750124937531,0,1,27
28,20,"exc","intensity",0.2,0.2,"2016/10/25","Cell2","keep",0.2,55,-8.03368071425788,11.6862104419537,1,28
29,60,"cell-attach","grating",0.1,0.2,"2016/10/25","Cell2","keep",0.2,55,9.99500249875062,0,1,29
30,60,"exc","grating",0.1,0.2,"2016/10/25","Cell2","keep",0.2,55,-2.78277122402356,6.52876890396849,1,30
31,60,"cell-attach","intensity",0.1,0.2,"2016/10/25","Cell2","keep",0.2,55,0,0,1,31
32,60,"exc","intensity",0.1,0.2,"2016/10/25","Cell2","keep",0.2,55,11.283164152667,5.04956576339216,1,32
33,60,"cell-attach","grating",0.2,0.2,"2016/10/25","Cell2","keep",0.2,55,19.9900049975013,0,1,33
34,60,"exc","grating",0.2,0.2,"2016/10/25","Cell2","keep",0.2,55,-70.8301059529038,8.50526180117218,1,34
35,60,"cell-attach","intensity",0.2,0.2,"2016/10/25","Cell2","keep",0.2,55,0,0,1,35
36,60,"exc","intensity",0.2,0.2,"2016/10/25","Cell2","keep",0.2,55,-9.79135325354777,3.72585664665227,1,36
37,100,"cell-attach","grating",0.1,0.2,"2016/10/25","Cell2","keep",0.2,55,19.9900049975013,0,1,37
