id,splitOnRecType,stimulusTag,splitOnExperimentDate,imageName,imagePatchIndex,celllabel,splitOnDelTag,MeanRespOn,SEM,nodeid,leafid
1,"cell-attach","image","2016/08/10","00152",1,"Cell 2 - on parasol","keep",11.6308377243915,12.7293584875127,1,1
2,"exc","image","2016/08/10","00152",1,"Cell 2 - on parasol","keep",-568.351462629359,40.1949508341647,1,2
3,"cell-attach","intensity","2016/08/10","00152",1,"Cell 2 - on parasol","keep",13.1861370339911,12.5039769674305,1,3
4,"exc","intensity","2016/08/10","00152",1,"Cell 2 - on parasol","keep",-560.141949817768,41.4289365798564,1,4
5,"cell-attach","image","2016/08/10","00152",2,"Cell 2 - on parasol","keep",0.636158914266103,3.53090006509392,1,5
6,"exc","image","2016/08/10","00152",2,"Cell 2 - on parasol","keep",-52.7675620354036,17.0305893644922,1,6
7,"cell-attach","intensity","2016/08/10","00152",2,"Cell 2 - on parasol","keep",-0.81325603058953,1.34392711846663,1,7
8,"exc","intensity","2016/08/10","00152",2,"Cell 2 - on parasol","keep",-14.8038454822524,5.33243324672586,1,8
9,"cell-attach","image","2016/08/10","00152",3,"Cell 2 - on parasol","keep",2.87784856670429,4.73566460626325,1,9
10,"exc","image","2016/08/10","00152",3,"Cell 2 - on parasol","keep",-190.442407351052,17.6183150424266,1,10
11,"cell-attach","intensity","2016/08/10","00152",3,"Cell 2 - on parasol","keep",3.27046220256053,2.4434965247086,1,11
12,"exc","intensity","2016/08/10","00152",3,"Cell 2 - on parasol","keep",-145.478478099966,18.8286466386463,1,12
13,"cell-attach","image","2016/08/10","00152",4,"Cell 2 - on parasol","keep",1.16994834079775,2.5529417969577,1,13
14,"exc","image","2016/08/10","00152",4,"Cell 2 - on parasol","keep",-18.0248718744581,12.9622136632625,1,14
15,"cell-attach","intensity","2016/08/10","00152",4,"Cell 2 - on parasol","keep",-2.5000290218249,1.81442401529908,1,15
16,"exc","intensity","2016/08/10","00152",4,"Cell 2 - on parasol","keep",-44.972246566572,10.6972876173104,1,16
17,"cell-attach","image","2016/08/10","00152",5,"Cell 2 - on parasol","keep",-1.72711623436558,3.01741313771694,1,17
18,"exc","image","2016/08/10","00152",5,"Cell 2 - on parasol","keep",20.5077580216025,14.3072008414238,1,18
19,"cell-attach","intensity","2016/08/10","00152",5,"Cell 2 - on parasol","keep",1.89817289058767,1.85952106385747,1,19
20,"exc","intensity","2016/08/10","00152",5,"Cell 2 - on parasol","keep",-40.9428029840203,14.1855553393226,1,20
21,"cell-attach","image","2016/08/10","00152",6,"Cell 2 - on parasol","keep",13.3636381775579,11.4394369200144,1,21
22,"exc","image","2016/08/10","00152",6,"Cell 2 - on parasol","keep",-569.27828989058,49.3183744621581,1,22
23,"cell-attach","intensity","2016/08/10","00152",6,"Cell 2 - on parasol","keep",9.94815017166548,10.0237229441495,1,23
24,"exc","intensity","2016/08/10","00152",6,"Cell 2 - on parasol","keep",-488.009878671987,38.0620486577393,1,24
25,"cell-attach","image","2016/08/10","00152",7,"Cell 2 - on parasol","keep",-3.02027404061613,3.66666076140054,1,25
26,"exc","image","2016/08/10","00152",7,"Cell 2 - on parasol","keep",-31.0505140349675,16.6942721079912,1,26
27,"cell-attach","intensity","2016/08/10","00152",7,"Cell 2 - on parasol","keep",-0.696310244546454,1.51902885010975,1,27
28,"exc","intensity","2016/08/10","00152",7,"Cell 2 - on parasol","keep",-12.8150359366182,10.8635791228745,1,28
29,"cell-attach","image","2016/08/10","00152",8,"Cell 2 - on parasol","keep",6.80050045229817,5.01929358583949,1,29
30,"exc","image","2016/08/10","00152",8,"Cell 2 - on parasol","keep",-106.023470950505,20.1683961660125,1,30
31,"cell-attach","intensity","2016/08/10","00152",8,"Cell 2 - on parasol","keep",1.7541755835958,1.99368104335198,1,31
32,"exc","intensity","2016/08/10","00152",8,"Cell 2 - on parasol","keep",-122.47988520751,15.0737186820571,1,32
33,"cell-attach","image","2016/08/10","00152",9,"Cell 2 - on parasol","keep",10.5037406666216,8.93825335443617,1,33
34,"exc","image","2016/08/10","00152",9,"Cell 2 - on parasol","keep",-236.716454802817,23.9917605495615,1,34
35,"cell-attach","intensity","2016/08/10","00152",9,"Cell 2 - on parasol","keep",5.92380228762324,4.20194474831471,1,35
36,"exc","intensity","2016/08/10","00152",9,"Cell 2 - on parasol","keep",-210.525516770322,21.734879088106,1,36
37,"cell-attach","image","2016/08/10","00152",10,"Cell 2 - on parasol","keep",1.10331275959471,0.961793246330669,1,37
38,"exc","image","2016/08/10","00152",10,"Cell 2 - on parasol","keep",-73.5747495159104,17.9870600167748,1,38
39,"cell-attach","intensity","2016/08/10","00152",10,"Cell 2 - on parasol","keep",3.35194758101216,1.74048324996894,1,39
40,"exc","intensity","2016/08/10","00152",10,"Cell 2 - on parasol","keep",-57.4721686771842,13.5584159598534,1,40
41,"cell-attach","image","2016/08/10","00152",11,"Cell 2 - on parasol","keep",3.42375989352148,5.26552594150761,1,41
42,"exc","image","2016/08/10","00152",11,"Cell 2 - on parasol","keep",-169.927932121572,16.1327365299252,1,42
43,"cell-attach","intensity","2016/08/10","00152",11,"Cell 2 - on parasol","keep",5.37183648495006,4.93875447203254,1,43
44,"exc","intensity","2016/08/10","00152",11,"Cell 2 - on parasol","keep",-136.519985758917,15.2282544117432,1,44
45,"cell-attach","image","2016/08/10","00152",12,"Cell 2 - on parasol","keep",-1.81453371723769,2.45410385056263,1,45
46,"exc","image","2016/08/10","00152",12,"Cell 2 - on parasol","keep",28.586916631179,9.12787940191693,1,46
47,"cell-attach","intensity","2016/08/10","00152",12,"Cell 2 - on parasol","keep",1.36491081248111,2.99467370254922,1,47
48,"exc","intensity","2016/08/10","00152",12,"Cell 2 - on parasol","keep",-13.6205251814546,9.4735213895151,1,48
49,"cell-attach","image","2016/08/10","00152",13,"Cell 2 - on parasol","keep",7.30616721630333,5.49240494520398,1,49
50,"exc","image","2016/08/10","00152",13,"Cell 2 - on parasol","keep",-193.692797540388,21.349645771228,1,50
51,"cell-attach","intensity","2016/08/10","00152",13,"Cell 2 - on parasol","keep",3.83365825223864,3.70744282533493,1,51
52,"exc","intensity","2016/08/10","00152",13,"Cell 2 - on parasol","keep",-151.599909262606,20.9794793894466,1,52
53,"cell-attach","image","2016/08/10","00152",14,"Cell 2 - on parasol","keep",11.0577796112667,8.96378542621505,1,53
54,"exc","image","2016/08/10","00152",14,"Cell 2 - on parasol","keep",-424.650895209425,41.9322497561937,1,54
55,"cell-attach","intensity","2016/08/10","00152",14,"Cell 2 - on parasol","keep",7.93010872157569,7.42985037935438,1,55
56,"exc","intensity","2016/08/10","00152",14,"Cell 2 - on parasol","keep",-314.748603718982,26.6036662588882,1,56
57,"cell-attach","image","2016/08/10","00152",15,"Cell 2 - on parasol","keep",0.608029347635539,1.3631798587123,1,57
58,"exc","image","2016/08/10","00152",15,"Cell 2 - on parasol","keep",-25.9903634312313,8.48643331706255,1,58
59,"cell-attach","intensity","2016/08/10","00152",15,"Cell 2 - on parasol","keep",-0.191879127818801,0.52134926989898,1,59
60,"exc","intensity","2016/08/10","00152",15,"Cell 2 - on parasol","keep",29.4347199307928,11.0970164481131,1,60
61,"cell-attach","image","2016/08/10","00152",16,"Cell 2 - on parasol","keep",-0.140708528977379,2.84392593670948,1,61
62,"exc","image","2016/08/10","00152",16,"Cell 2 - on parasol","keep",37.4808156021964,15.6716220729623,1,62
63,"cell-attach","intensity","2016/08/10","00152",16,"Cell 2 - on parasol","keep",0.0269841978763421,0.812078145134241,1,63
64,"exc","intensity","2016/08/10","00152",16,"Cell 2 - on parasol","keep",-39.0847560660315,12.9284056809311,1,64
65,"cell-attach","image","2016/08/10","00152",17,"Cell 2 - on parasol","keep",14.4984876065995,13.1679411983632,1,65
66,"exc","image","2016/08/10","00152",17,"Cell 2 - on parasol","keep",-653.64540319427,42.4226719882089,1,66
67,"cell-attach","intensity","2016/08/10","00152",17,"Cell 2 - on parasol","keep",13.7346063099647,11.3985778379465,1,67
68,"exc","intensity","2016/08/10","00152",17,"Cell 2 - on parasol","keep",-732.286085405999,55.8449058762785,1,68
69,"cell-attach","image","2016/08/10","00152",18,"Cell 2 - on parasol","keep",2.1723903027796,2.57972005979362,1,69
70,"exc","image","2016/08/10","00152",18,"Cell 2 - on parasol","keep",-99.3825004056804,12.27954314387,1,70
71,"cell-attach","intensity","2016/08/10","00152",18,"Cell 2 - on parasol","keep",0.545983752953783,0.550110273609944,1,71
72,"exc","intensity","2016/08/10","00152",18,"Cell 2 - on parasol","keep",-96.2206476503328,12.4044826907229,1,72
73,"cell-attach","image","2016/08/10","00152",19,"Cell 2 - on parasol","keep",14.7362689321767,14.1275859704452,1,73
74,"exc","image","2016/08/10","00152",19,"Cell 2 - on parasol","keep",-946.031833992935,59.5157799218099,1,74
75,"cell-attach","intensity","2016/08/10","00152",19,"Cell 2 - on parasol","keep",17.419141774042,18.6421791922008,1,75
76,"exc","intensity","2016/08/10","00152",19,"Cell 2 - on parasol","keep",-865.477563189907,39.0554329440446,1,76
77,"cell-attach","image","2016/08/10","00152",20,"Cell 2 - on parasol","keep",2.16307763026128,1.18925668660277,1,77
78,"exc","image","2016/08/10","00152",20,"Cell 2 - on parasol","keep",-7.26678642238729,11.4273626997612,1,78
79,"cell-attach","intensity","2016/08/10","00152",20,"Cell 2 - on parasol","keep",0.535483745775848,1.91707986123554,1,79
80,"exc","intensity","2016/08/10","00152",20,"Cell 2 - on parasol","keep",-58.8135142340605,5.88877162143269,1,80
81,"cell-attach","image","2016/08/10","00152",21,"Cell 2 - on parasol","keep",0.807744306248383,0.93394160893622,1,81
