id,currentBarWidth,splitOnRecType,stimulusTag,currentMeanLevel,currentAbsContrast,splitOnExperimentDate,celllabel,splitOnDelTag,backgroundIntensity,MeanRespOn,SEM,nodeid,leafid
1,-100,"cell-attach","grating",0.2,0.1,"2016/10/25","Cell2","keep",0.2,14.9925037481259,0,1,1
2,-100,"exc","grating",0.2,0.1,"2016/10/25","Cell2","keep",0.2,-22.9570360072839,8.04358382351325,1,2
3,-100,"cell-attach","intensity",0.2,0.1,"2016/10/25","Cell2","keep",0.2,0,0,1,3
4,-100,"exc","intensity",0.2,0.1,"2016/10/25","Cell2","keep",0.2,6.85203309203327,2.63495351566966,1,4
5,-100,"cell-attach","grating",0.4,0.1,"2016/10/25","Cell2","keep",0.2,69.9650174912544,0,1,5
6,-100,"exc","grating",0.4,0.1,"2016/10/25","Cell2","keep",0.2,-240.565942400881,23.2348617660449,1,6
7,-100,"cell-attach","intensity",0.4,0.1,"2016/10/25","Cell2","keep",0.2,59.9650174912543,0,1,7
8,-100,"exc","intensity",0.4,0.1,"2016/10/25","Cell2","keep",0.2,-254.871608208256,14.7241321363774,1,8
9,-60,"cell-attach","grating",0.2,0.1,"2016/10/25","Cell2","keep",0.2,14.9925037481259,0,1,9
10,-60,"exc","grating",0.2,0.1,"2016/10/25","Cell2","keep",0.2,-23.4297663066796,2.23145509353894,1,10
11,-60,"cell-attach","intensity",0.2,0.1,"2016/10/25","Cell2","keep",0.2,4.99750124937531,0,1,11
12,-60,"exc","intensity",0.2,0.1,"2016/10/25","Cell2","keep",0.2,6.77653314142406,4.37611323016388,1,12
13,-60,"cell-attach","grating",0.4,0.1,"2016/10/25","Cell2","keep",0.2,59.9700149925035,0,1,13
14,-60,"exc","grating",0.4,0.1,"2016/10/25","Cell2","keep",0.2,-251.623061683745,23.9397728061829,1,14
15,-60,"cell-attach","intensity",0.4,0.1,"2016/10/25","Cell2","keep",0.2,59.9700149925034,0,1,15
16,-60,"exc","intensity",0.4,0.1,"2016/10/25","Cell2","keep",0.2,-237.134667370039,25.5495195803937,1,16
17,-20,"cell-attach","grating",0.2,0.1,"2016/10/25","Cell2","keep",0.2,0,0,1,17
18,-20,"exc","grating",0.2,0.1,"2016/10/25","Cell2","keep",0.2,-3.01730328788039,3.4882026629768,1,18
19,-20,"cell-attach","intensity",0.2,0.1,"2016/10/25","Cell2","keep",0.2,0,0,1,19
