id,splitOnRecType,displayMode,splitOnExperimentDate,rotation,celllabel,seed,splitOnDelTag,MeanRespOn,SEM,nodeid,leafid
1,"cell-attach","flash","2016/11/16",0,"Cell1",1,"keep",2.51018390756552,2.27502152893175,1,1
2,"exc","flash","2016/11/16",0,"Cell1",1,"keep",-23.8699634154648,0,1,2
3,"inh","flash","2016/11/16",0,"Cell1",1,"keep",-16.7427587568497,10.5087446538943,1,3
4,"cell-attach","flash","2016/11/16",45,"Cell1",1,"keep",5.06645612507459,4.91355386992782,1,4
5,"exc","flash","2016/11/16",45,"Cell1",1,"keep",-75.6078043145989,0,1,5
6,"inh","flash","2016/11/16",45,"Cell1",1,"keep",-22.1764986413488,16.1860667709557,1,6
7,"cell-attach","flash","2016/11/16",90,"Cell1",1,"keep",2.51235481439842,2.47015393122876,1,7
8,"exc","flash","2016/11/16",90,"Cell1",1,"keep",-29.3489192265132,0,1,8
9,"inh","flash","2016/11/16",90,"Cell1",1,"keep",-38.8324364474075,5.01847598385071,1,9
10,"cell-attach","flash","2016/11/16",135,"Cell1",1,"keep",2.76114050380907,2.21886949119335,1,10
11,"exc","flash","2016/11/16",135,"Cell1",1,"keep",-90.4645552263262,0,1,11
12,"inh","flash","2016/11/16",135,"Cell1",1,"keep",-7.89546742121228,1.58079055854722,1,12
13,"cell-attach","flash","2016/11/16",180,"Cell1",1,"keep",7.61578575018434,7.35922674356844,1,13
14,"exc","flash","2016/11/16",180,"Cell1",1,"keep",-74.2129572632028,0,1,14
15,"inh","flash","2016/11/16",180,"Cell1",1,"keep",-15.1667490884535,17.6296762532339,1,15
16,"cell-attach","flash","2016/11/16",225,"Cell1",1,"keep",8.54604793188326,8.58724816516603,1,16
17,"exc","flash","2016/11/16",225,"Cell1",1,"keep",-67.4202076233192,0,1,17
18,"inh","flash","2016/11/16",225,"Cell1",1,"keep",-44.5338091962179,22.0613369027374,1,18
19,"cell-attach","flash","2016/11/16",270,"Cell1",1,"keep",8.92812842928441,8.99158818299763,1,19
20,"exc","flash","2016/11/16",270,"Cell1",1,"keep",-36.5118534120208,0,1,20
21,"inh","flash","2016/11/16",270,"Cell1",1,"keep",4.51626206726065,10.3989560572556,1,21
22,"cell-attach","flash","2016/11/16",315,"Cell1",1,"keep",2.5190275760862,2.46348116954099,1,22
23,"exc","flash","2016/11/16",315,"Cell1",1,"keep",-37.0868098488156,0,1,23
24,"inh","flash","2016/11/16",315,"Cell1",1,"keep",0.0950587433166585,0.566561568636136,1,24
25,"exc","flash","2016/11/16",0,"Cell1",2,"keep",-58.8623378911876,0,1,25
26,"exc","flash","2016/11/16",45,"Cell1",2,"keep",-68.5951695126507,0,1,26
27,"exc","flash","2016/11/16",90,"Cell1",2,"keep",-30.7007194827609,0,1,27
28,"exc","flash","2016/11/16",135,"Cell1",2,"keep",-38.4159740047466,0,1,28
29,"exc","flash","2016/11/16",180,"Cell1",2,"keep",-28.7078039779779,0,1,29
30,"exc","flash","2016/11/16",225,"Cell1",2,"keep",-14.2781514381069,0,1,30
31,"exc","flash","2016/11/16",270,"Cell1",2,"keep",-63.1200027015748,0,1,31
32,"exc","flash","2016/11/16",315,"Cell1",2,"keep",-64.4773807315585,0,1,32
33,"exc","flash","2016/11/16",0,"Cell1",3,"keep",102.653004302634,0,1,33
34,"exc","flash","2016/11/16",45,"Cell1",3,"keep",92.3343516818503,0,1,34
35,"exc","flash","2016/11/16",90,"Cell1",3,"keep",58.6235484382812,0,1,35
36,"exc","flash","2016/11/16",135,"Cell1",3,"keep",28.7827620698583,0,1,36
37,"exc","flash","2016/11/16",180,"Cell1",3,"keep",68.0169495386192,0,1,37
38,"exc","flash","2016/11/16",225,"Cell1",3,"keep",53.7090314951921,0,1,38
39,"exc","flash","2016/11/16",270,"Cell1",3,"keep",82.7726190217267,0,1,39
40,"exc","flash","2016/11/16",315,"Cell1",3,"keep",51.5119686883029,0,1,40
41,"exc","flash","2016/11/16",0,"Cell1",4,"keep",-62.9269653059888,6.55530925977483,1,41
42,"inh","flash","2016/11/16",0,"Cell1",4,"keep",-6.5626035018797,6.97374615173962,1,42
43,"exc","flash","2016/11/16",45,"Cell1",4,"keep",-92.1596356830484,10.2179976764926,1,43
44,"inh","flash","2016/11/16",45,"Cell1",4,"keep",-9.09633236786219,3.46779744843984,1,44
45,"exc","flash","2016/11/16",90,"Cell1",4,"keep",-81.0943497190573,14.1491099374876,1,45
46,"inh","flash","2016/11/16",90,"Cell1",4,"keep",-23.2719946413677,10.6974467743094,1,46
47,"exc","flash","2016/11/16",135,"Cell1",4,"keep",-83.3922003354809,12.1072678588455,1,47
48,"inh","flash","2016/11/16",135,"Cell1",4,"keep",-28.7717283505203,3.42127288221499,1,48
